name,serving_size_g,calories,protein_g,fat_g,carbohydrate_g,fiber_g,sugars_g,sodium_mg,calcium_mg,iron_mg,potassium_mg,vitamin_c_mg,source_url
"Fish oil, sardine",100 g,,0.0,,0.0,,,0.0,0.0,0.0,0.0,,https://www.nutritionvalue.org/Fish_oil%2C_sardine_nutritional_value.html?size=100%20g
"Fish oil, cod liver",100 g,,0.0,,0.0,,,0.0,0.0,0.0,0.0,,https://www.nutritionvalue.org/Fish_oil%2C_cod_liver_nutritional_value.html?size=100%20g
"Fish oil, salmon",100 g,,0.0,,0.0,,,0.0,0.0,0.0,0.0,,https://www.nutritionvalue.org/Fish_oil%2C_salmon_nutritional_value.html?size=100%20g
"Fish oil, fully hydrogenated, menhaden",100 g,,0.0,,0.0,,,0.0,0.0,0.0,0.0,,https://www.nutritionvalue.org/Fish_oil%2C_fully_hydrogenated%2C_menhaden_nutritional_value.html?size=100%20g
"Fish oil, menhaden",100 g,,0.0,,0.0,,,0.0,0.0,0.0,0.0,,https://www.nutritionvalue.org/Fish_oil%2C_menhaden_nutritional_value.html?size=100%20g
"Fish oil, herring",100 g,,0.0,,0.0,,,0.0,0.0,0.0,0.0,,https://www.nutritionvalue.org/Fish_oil%2C_herring_nutritional_value.html?size=100%20g
Lard,100 g,,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,,https://www.nutritionvalue.org/Lard_nutritional_value.html?size=100%20g
"Fat, beef tallow",100 g,,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,,https://www.nutritionvalue.org/Fat%2C_beef_tallow_nutritional_value.html?size=100%20g
Sunflower oil,100 g,,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,,https://www.nutritionvalue.org/Sunflower_oil_82108500_nutritional_value.html?size=100%20g
Soybean oil,100 g,,0.0,,0.0,,0.0,0.0,0.0,0.05,0.0,,https://www.nutritionvalue.org/Soybean_oil_82108000_nutritional_value.html?size=100%20g
Safflower oil,100 g,,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,,https://www.nutritionvalue.org/Safflower_oil_82106000_nutritional_value.html?size=100%20g
Canola oil,100 g,,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,,https://www.nutritionvalue.org/Canola_oil_82105500_nutritional_value.html?size=100%20g
Peanut oil,100 g,,0.0,,0.0,,0.0,0.0,0.0,0.03,0.0,,https://www.nutritionvalue.org/Peanut_oil_82105000_nutritional_value.html?size=100%20g
Olive oil,100 g,,0.0,,0.0,,0.0,2.0,1.0,0.56,1.0,,https://www.nutritionvalue.org/Olive_oil_82104000_nutritional_value.html?size=100%20g
Corn oil,100 g,,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,,https://www.nutritionvalue.org/Corn_oil_82102000_nutritional_value.html?size=100%20g
"Vegetable oil, not further speficied",100 g,,0.0,,0.0,,0.0,0.0,0.0,0.16,0.0,,https://www.nutritionvalue.org/Vegetable_oil%2C_not_further_speficied_82101000_nutritional_value.html?size=100%20g
"Fat, goose",100 g,,0.0,,0.0,,,0.0,0.0,0.0,0.0,,https://www.nutritionvalue.org/Fat%2C_goose_nutritional_value.html?size=100%20g
"Fat, turkey",100 g,,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,,https://www.nutritionvalue.org/Fat%2C_turkey_nutritional_value.html?size=100%20g
"Shortening frying (heavy duty), beef tallow and cottonseed",100 g,,0.0,,0.0,,,0.0,0.0,0.0,0.0,,https://www.nutritionvalue.org/Shortening_frying_%28heavy_duty%29%2C_beef_tallow_and_cottonseed_nutritional_value.html?size=100%20g
"Shortening industrial, lard and vegetable oil",100 g,,0.0,,0.0,,,0.0,0.0,0.0,0.0,,https://www.nutritionvalue.org/Shortening_industrial%2C_lard_and_vegetable_oil_nutritional_value.html?size=100%20g
